method,max_positions,total_pnl,n_trades,win_rate,avg_pnl,avg_margin,max_dd_pct,return_pct,n_skipped_pos,n_skipped_cap
ML予測,10,10463200.0,11810,0.3897544453852667,885.961049957663,111017.78238780695,4.643309282714286,225.01505376344087,538404,0
RSI低い順,10,9713640.0,11632,0.38574621733149933,835.0790921595599,148562.93672627234,5.789599949542373,208.89548387096775,538582,0
証拠金安い順,10,2373625.0,9848,0.3771324126726239,241.02609666937448,26574.104386677496,1.7578055682984761,51.045698924731184,540366,0
ルール優先,10,11623719.0,10474,0.3554515944242887,1109.7688562153905,153044.82910063013,5.1116675719379,249.97245161290326,539740,0
ランダム,10,7848740.0,9483,0.37688495201940314,827.6642412738585,149112.30939576082,5.434385991516085,168.79010752688174,540731,0
ML予測,15,13921317.0,17500,0.3901142857142857,795.5038285714286,111515.18742857143,4.892513550774047,299.38316129032256,532714,0
RSI低い順,15,14784004.0,17540,0.387115165336374,842.8736602052452,150312.51197263398,5.7593978465619085,317.9355698924731,532674,0
証拠金安い順,15,3375129.0,14545,0.37717428669645925,232.0473702303197,30424.83808869027,3.993379523050914,72.58341935483871,535669,0
ルール優先,15,17139001.0,15490,0.35371207230471274,1106.4558424790187,149569.92834086507,6.698123751308343,368.5806666666667,534724,0
ランダム,15,10092564.0,14345,0.37323109097246426,703.5597072150575,148177.83060299756,6.856339028034501,217.04438709677422,535869,0
ML予測,16,15076256.0,18568,0.3914261094355881,811.9482981473503,111724.47544161999,4.9299103340716615,324.22055913978494,531646,0
RSI低い順,16,15644354.0,18728,0.3858927808628791,835.3456856044426,149887.7621742845,5.5767548114567305,336.43772043010756,531486,0
証拠金安い順,16,3618924.0,15507,0.3770555233120526,233.37357322499517,30981.57154833301,4.063195285449296,77.82632258064515,534707,0
ルール優先,16,17932368.0,16472,0.352112676056338,1088.6576007770761,149134.75109276347,6.508080777801667,385.64232258064516,533742,0
ランダム,16,10635690.0,15307,0.37166002482524335,694.8252433527144,149639.41334030183,7.070872668815024,228.72451612903225,534907,0
ML予測,20,17696983.0,22942,0.3948217243483567,771.3792607444861,113181.6197367274,5.060076005375192,380.58027956989247,527272,0
RSI低い順,20,19365031.0,23485,0.3871833084947839,824.5701937406856,149100.48073238236,5.612876645666921,416.4522795698924,526729,0
証拠金安い順,20,5144090.0,19246,0.3780006235061831,267.2809934531851,33091.494336485506,4.08627779737644,110.62559139784946,530968,0
ルール優先,20,22141521.0,20264,0.3521515988945914,1092.6530300039478,148243.09070272403,4.653419943938097,476.1617419354839,529950,0
ランダム,20,13088330.0,19108,0.3715721163910404,684.965982834415,149155.11984509107,10.25297168476881,281.46946236559137,531105,1
