条件,トレード数,勝率,平均損益,コスト後
基本（-2%）,1725,59.53623188405797,0.9088398272829122,0.6588398272829122
前場高値のみ,1377,81.19099491648511,3.4804454239201097,3.2304454239201097
損切り1%,1725,18.318840579710145,-0.3078291507050456,-0.5578291507050456
損切り2%,1725,26.20289855072464,-0.7094498186273553,-0.9594498186273553
損切り3%,1725,48.05797101449276,0.570647964823437,0.32064796482343705
反転確認（-3%）,1477,58.22613405551794,0.7274634261781722,0.47746342617817217
10時以降のみ,1696,68.63207547169812,2.133184450965051,1.883184450965051
11時以降のみ,1663,72.63980757666867,2.56726224283284,2.31726224283284
