条件,トレード数,勝率,平均損益,中央値
全日,20274,53.57107625530235,0.24871017324074018,0.14187493179089322
出来高1.5倍翌日,2631,56.97453439756747,0.5924542682068975,0.40214981020032065
出来高2倍翌日,1725,59.53623188405797,0.9088398272829122,0.6151579019517182
出来高3倍翌日,1053,60.77872744539411,1.2095115179566018,0.9538598047914818
出来高5倍翌日,556,62.76978417266187,1.6893486366688497,1.465456312395084
