Date,Code,ShortMarginTradeVolume,LongMarginTradeVolume,ShortNegotiableMarginTradeVolume,LongNegotiableMarginTradeVolume,ShortStandardizedMarginTradeVolume,LongStandardizedMarginTradeVolume,IssueType,original_code,margin_ratio,short_change_pct,long_change_pct,code,date,Close,next_week_return,code_meta,stock_name,is_core30,is_policy,sectors
2025-11-21,18010,149300.0,193400.0,41100.0,58600.0,108200.0,134800.0,2,1801,1.2953784326858673,6.71908506075769,-0.667693888032872,1801,2025-11-21,13450.0,-0.743494423791824,1801,大成建設,False,True,建設業
2025-10-03,18020,95100.0,826200.0,49900.0,278500.0,45200.0,547700.0,2,1802,8.68769716088328,,,1802,2025-10-03,2349.0,1.12813963388676,1802,大林組,False,True,建設業
2025-10-10,18020,92200.0,785600.0,50800.0,273700.0,41400.0,511900.0,2,1802,8.52060737527115,-3.0494216614090464,-4.914064391188577,1802,2025-10-10,2375.5,4.6306040833508755,1802,大林組,False,True,建設業
2025-10-17,18020,102000.0,1030100.0,56800.0,482800.0,45200.0,547300.0,2,1802,10.099019607843138,10.629067245119316,31.122708757637476,1802,2025-10-17,2485.5,4.646952323476161,1802,大林組,False,True,建設業
2025-10-24,18020,102300.0,1258000.0,53300.0,683300.0,49000.0,574700.0,2,1802,12.297165200391008,0.2941176470588225,22.12406562469662,1802,2025-10-24,2601.0,0.4229142637447225,1802,大林組,False,True,建設業
2025-10-31,18020,105500.0,1176500.0,47900.0,619100.0,57600.0,557400.0,2,1802,11.151658767772512,3.128054740957964,-6.478537360890302,1802,2025-10-31,2612.0,7.40811638591119,1802,大林組,False,True,建設業
2025-11-07,18020,89200.0,1208300.0,33400.0,592500.0,55800.0,615800.0,2,1802,13.545964125560538,-15.450236966824647,2.70293242668933,1802,2025-11-07,2805.5,1.6039921582605698,1802,大林組,False,True,建設業
2025-11-14,18020,92400.0,1496400.0,33100.0,751500.0,59300.0,744900.0,2,1802,16.194805194805195,3.587443946188351,23.843416370106763,1802,2025-11-14,2850.5,9.629889493071397,1802,大林組,False,True,建設業
2025-11-21,18020,141600.0,1227000.0,38800.0,556600.0,102800.0,670400.0,2,1802,8.665254237288135,53.24675324675325,-18.00320769847634,1802,2025-11-21,3125.0,1.8880000000000008,1802,大林組,False,True,建設業
2025-10-03,18030,251700.0,540300.0,78400.0,135400.0,173300.0,404900.0,2,1803,2.1466030989272946,,,1803,2025-10-03,1975.5,0.8605416350291106,1803,清水建設,False,True,建設業
2025-10-10,18030,208000.0,538900.0,76600.0,118000.0,131400.0,420900.0,2,1803,2.5908653846153844,-17.36193881605086,-0.2591153063113083,1803,2025-10-10,1992.5,-1.8318695106649963,1803,清水建設,False,True,建設業
2025-10-17,18030,188700.0,616400.0,72500.0,130700.0,116200.0,485700.0,2,1803,3.266560678325384,-9.278846153846152,14.381146780478748,1803,2025-10-17,1956.0,6.032719836400813,1803,清水建設,False,True,建設業
2025-10-24,18030,200400.0,664200.0,68900.0,129700.0,131500.0,534500.0,2,1803,3.31437125748503,6.200317965023849,7.754704737183649,1803,2025-10-24,2074.0,-0.024108003857281624,1803,清水建設,False,True,建設業
2025-10-31,18030,177700.0,602100.0,68200.0,124100.0,109500.0,478000.0,2,1803,3.3882948790095666,-11.327345309381244,-9.34959349593496,1803,2025-10-31,2073.5,5.497950325536527,1803,清水建設,False,True,建設業
2025-11-07,18030,173400.0,634100.0,63000.0,167900.0,110400.0,466200.0,2,1803,3.656862745098039,-2.419808666291501,5.314731772130865,1803,2025-11-07,2187.5,14.605714285714289,1803,清水建設,False,True,建設業
2025-11-14,18030,287900.0,621300.0,64900.0,176600.0,223000.0,444700.0,2,1803,2.1580409864536296,66.03229527104959,-2.018609052199971,1803,2025-11-14,2507.0,2.5927403270841642,1803,清水建設,False,True,建設業
