signal_date,calc_date,ticker,stock_name,sectors,regime,score,rsi_14d,atr_pct,ma25_deviation,sector_short_ratio,entry_price,signal
2025-11-28,2025-11-27,7011.T,三菱重工業,機械,AGGRESSIVE,45,24.931880108991834,4.022227128873188,-9.547598188155913,43.009094390410105,3882.0,STRONG_BUY
2025-11-28,2025-11-27,7012.T,川崎重工業,機械,AGGRESSIVE,45,18.0,4.4144079373067795,-10.27498211821485,43.009094390410105,9935.0,STRONG_BUY
2025-11-28,2025-11-27,7741.T,ＨＯＹＡ,精密機器,MODERATE,35,21.711366538952745,2.683529627143467,-2.541984796383099,26.039794521928012,23410.0,STRONG_BUY
2025-11-28,2025-11-27,5631.T,日本製鋼所,機械,AGGRESSIVE,25,47.612034504523464,5.43853783572941,-6.425198558366156,43.009094390410105,8973.0,STRONG_BUY
2025-11-27,2025-11-26,7012.T,川崎重工業,機械,AGGRESSIVE,45,19.45044766903365,4.588415288044955,-9.738584293375343,41.21285921034514,9991.0,STRONG_BUY
2025-11-27,2025-11-26,7011.T,三菱重工業,機械,AGGRESSIVE,25,33.43868520859671,4.117454664389287,-8.734212481426445,41.21285921034514,3931.0,STRONG_BUY
2025-11-26,2025-11-25,7011.T,三菱重工業,機械,AGGRESSIVE,30,28.46015578190533,4.550646670842698,-10.388217564556532,42.47452051476038,3877.0,STRONG_BUY
2025-11-26,2025-11-25,7012.T,川崎重工業,機械,AGGRESSIVE,30,14.290201005025125,4.943095820235185,-11.301632281290205,42.47452051476038,9816.0,STRONG_BUY
2025-11-26,2025-11-25,7013.T,ＩＨＩ,機械,AGGRESSIVE,30,25.15212981744422,5.191139308564976,-10.971572556325476,42.47452051476038,2657.0,STRONG_BUY
2025-11-26,2025-11-25,8031.T,三井物産,卸売業,AGGRESSIVE,25,65.21739130434783,2.6138521623848936,2.05283096140063,43.26308055555659,3987.0,STRONG_BUY
