,return_1d,return_1d,return_1d,return_3d,return_3d,return_5d,return_5d
,mean,std,count,mean,std,mean,std
weekday,,,,,,,
Friday,0.04,2.64,75408,0.4,64.79,0.54,63.16
Monday,0.03,4.29,70066,0.33,61.84,0.51,64.8
Thursday,0.28,63.18,75078,0.49,66.21,0.57,66.4
Tuesday,0.1,2.64,74636,0.17,5.63,0.53,65.68
Wednesday,0.07,2.62,75180,0.21,5.58,0.5,59.17
