指標,相関係数,サンプル数
1554.T,0.45752278913100697,23
2516.T,0.4575227891310069,23
EURJPY=X,0.4575227891310069,23
1489.T,0.45752278913100686,23
1591.T,0.45752278913100686,23
1563.T,0.45752278913100686,23
1570.T,0.4575227891310068,23
^N225,0.4575227891310068,23
1311.T,0.45752278913100675,23
1306.T,0.4575227891310067,23
JPY=X,0.4575227891310067,23
1357.T,-0.45752278913100675,23
NKD=F,-0.45752278913100675,23
