date,ticker,name,prev_close,open,high,high_time,low,low_time,close
2025-10-02,8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,615.0,640.0,657.0,10:35:00,605.0,09:45:00,618.0
2025-10-02,3350.T,メタプラネット,516.0,560.0,615.0,09:15:00,559.0,09:10:00,579.0
2025-09-16,8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,633.0,669.0,690.0,10:45:00,643.0,13:35:00,650.0
2025-11-07,6927.T,ヘリオステクノHD,886.0,1010.0,1017.0,09:25:00,940.0,13:40:00,959.0
2025-11-27,8105.T,Ｂｉｔｃｏｉｎ　Ｊａｐａｎ,413.0,436.0,439.0,09:05:00,407.0,09:30:00,414.0
2025-11-20,4259.T,エクサウィザーズ,684.0,710.0,711.0,09:05:00,662.0,13:25:00,671.0
2025-10-16,6433.T,ヒーハイスト,561.0,621.0,661.0,09:40:00,600.0,15:10:00,624.0
2025-09-05,5994.T,ファインシンター,1048.7486572265625,1237.0,1294.0,09:15:00,1137.0,09:45:00,1222.0
2025-11-19,9501.T,東京電力HD,880.5999755859375,917.2000122070312,925.5999755859376,09:05:00,844.5,09:25:00,874.0999755859375
2025-11-13,4875.T,メディシノバ,240.0,250.0,254.0,09:05:00,237.0,09:05:00,240.0
2025-09-18,5994.T,ファインシンター,1393.039794921875,1479.0,1493.0,09:05:00,1378.0,09:35:00,1411.0
2025-11-07,4477.T,ＢＡＳＥ,324.0,356.0,383.0,09:50:00,351.0,09:05:00,362.0
2025-11-13,6862.T,ミナトホールディングス,1001.0,1084.0,1104.0,09:15:00,1027.0,13:20:00,1044.0
2025-09-29,5597.T,ブルーイノベーション,2206.0,2256.0,2345.0,09:05:00,2217.0,15:20:00,2218.0
2025-11-14,5029.T,サークレイス,1096.0,1141.0,1190.0,09:05:00,1111.0,15:20:00,1126.0
2025-11-04,5706.T,三井金属鉱業,15760.0,16515.0,17015.0,10:05:00,15870.0,15:15:00,16100.0
2025-11-25,9344.T,アクシスコンサルティング,891.0,910.0,979.0,10:00:00,910.0,09:00:00,927.0
2025-09-29,7746.T,岡本硝子,255.0,263.0,264.0,09:00:00,244.0,11:25:00,250.0
2025-10-21,6993.T,大黒屋ホールディングス,34.0,35.0,38.0,10:15:00,34.0,09:05:00,36.0
2025-12-01,6433.T,ヒーハイスト,342.0,366.0,422.0,09:20:00,360.0,09:05:00,400.0
2025-11-07,7826.T,フルヤ金属,2762.0,3225.0,3265.0,09:20:00,3065.0,11:10:00,3095.0
2025-11-25,5016.T,ＪＸ金属,1601.5,1652.0,1698.0,09:50:00,1609.0,15:20:00,1610.5
2025-12-01,8746.T,unbanked,297.0,305.0,311.0,09:00:00,288.0,10:15:00,295.0
2025-09-30,6525.T,コクサイエレクトリック,4206.0,4398.0,4427.0,09:05:00,4156.0,09:40:00,4200.0
2025-11-20,3110.T,日東紡績,13520.0,15080.0,16150.0,09:25:00,14760.0,09:15:00,15330.0
2025-10-10,6240.T,ヤマシンフィルタ(株),794.0,824.0,849.0,09:35:00,801.0,13:30:00,806.0
2025-10-21,7271.T,安永,760.0,862.0,910.0,09:30:00,819.0,14:40:00,864.0
2025-10-01,6240.T,ヤマシンフィルタ(株),723.0,765.0,772.0,09:05:00,730.0,12:30:00,733.0
2025-10-08,1844.T,大盛工業,700.0,730.0,733.0,09:30:00,691.0,09:10:00,696.0
2025-10-21,4814.T,ネクストウェア,209.0,214.0,218.0,09:05:00,203.0,15:15:00,207.0
2025-11-20,5803.T,フジクラ,17840.0,19840.0,19850.0,09:10:00,18205.0,12:45:00,18850.0
2025-09-04,1844.T,大盛工業,1220.0,1281.0,1450.0,10:10:00,1230.0,11:05:00,1377.0
2025-11-19,3103.T,日東紡績,269.0,294.0,298.0,09:05:00,271.0,09:15:00,283.0
2025-09-29,3350.T,メタプラネット,517.0,537.0,538.0,09:05:00,504.0,12:35:00,511.0
2025-11-20,6525.T,コクサイエレクトリック,4013.0,4367.0,4466.0,09:20:00,4200.0,13:15:00,4242.0
2025-11-25,4397.T,チームスピリット,515.0,535.0,540.0,09:55:00,505.0,13:10:00,513.0
2025-10-08,4591.T,リボミック,96.0,100.0,100.0,09:05:00,94.0,15:10:00,95.0
2025-10-29,2134.T,北浜キャピタルパートナーズ,38.0,39.0,40.0,09:10:00,38.0,09:05:00,38.0
