ticker,date,grok_rank,open,high_9_pct,low_9_pct,morning_high_pct,morning_low_pct,morning_close_pct,daily_high_pct,daily_low_pct,daily_close_pct,is_yoriten,is_yorisoko,high_9,low_9
6526.T,2025-10-31,1.0,3251.0,7.382343894186404,-1.845585973546601,7.382343894186404,-1.845585973546601,4.890802829898493,7.382343894186404,-1.845585973546601,7.197785296831744,True,True,,
3914.T,2025-10-31,2.0,3725.0,14.76510067114094,-0.9395973154362416,15.167785234899329,-0.9395973154362416,7.651006711409396,15.167785234899329,-0.9395973154362416,7.651006711409396,False,True,,
7746.T,2025-10-31,3.0,425.0,5.411764705882352,-0.2352941176470588,6.11764705882353,-0.7058823529411765,1.647058823529412,9.176470588235292,-3.058823529411765,0.0,False,False,,
1950.T,2025-10-31,4.0,2857.0,0.840042002100105,-0.280014000700035,0.840042002100105,-0.840042002100105,-0.6650332516625832,1.505075253762688,-0.840042002100105,1.12005600280014,True,False,,
4617.T,2025-10-31,5.0,4200.0,0.9523809523809524,-0.8333333333333334,0.9523809523809524,-2.380952380952381,-2.380952380952381,0.9523809523809524,-2.857142857142857,-1.4285714285714286,True,False,,
4082.T,2025-10-31,6.0,1135.0,13.56828193832599,-0.3524229074889868,19.911894273127754,-0.3524229074889868,13.480176211453744,19.911894273127754,-0.3524229074889868,14.801762114537445,False,True,,
4875.T,2025-10-31,7.0,177.0,18.64406779661017,-0.5649717514124294,18.64406779661017,-0.5649717514124294,17.51412429378531,28.24858757062147,-0.5649717514124294,28.24858757062147,True,True,,
6800.T,2025-10-31,8.0,1848.0,2.002164502164502,-1.2987012987012987,2.002164502164502,-1.2987012987012987,0.3787878787878788,7.142857142857142,-1.2987012987012987,7.142857142857142,True,True,,
4446.T,2025-10-31,9.0,1068.0,3.745318352059926,-1.310861423220974,3.745318352059926,-1.5917602996254685,-1.310861423220974,3.745318352059926,-2.4344569288389515,0.0936329588014981,True,False,,
1798.T,2025-10-31,10.0,5520.0,2.536231884057971,-1.4492753623188406,2.536231884057971,-1.4492753623188406,0.0,17.753623188405797,-3.985507246376811,12.681159420289855,True,True,,
166A.T,2025-10-31,11.0,654.0,0.6116207951070336,0.0,0.6116207951070336,-0.4587155963302752,-0.4587155963302752,0.6116207951070336,-0.764525993883792,-0.764525993883792,True,False,,
3856.T,2025-10-31,12.0,907.0,3.197353914002205,-0.4410143329658214,3.197353914002205,-0.4410143329658214,1.4332965821389196,3.197353914002205,-0.4410143329658214,1.4332965821389196,True,True,,
3655.T,2025-10-30,1.0,1358.0,0.8836524300441826,-1.325478645066274,0.8836524300441826,-1.7673048600883652,-0.2209131075110456,2.2827687776141383,-1.7673048600883652,1.7673048600883652,True,False,,
2445.T,2025-10-30,2.0,347.0,2.0172910662824206,0.0,2.5936599423631126,0.0,2.3054755043227666,2.5936599423631126,0.0,2.5936599423631126,False,True,,
3449.T,2025-10-30,3.0,1726.0,0.4055619930475087,-0.7531865585168018,0.6373117033603708,-0.7531865585168018,0.5793742757821553,1.3325608342989572,-0.7531865585168018,1.100811123986095,False,True,,
