signal_date,trade_date,code,name,label,segment,role,score,action,close,next_open,next_close,ret5,ret20,vs25,dist20hi,pnl_pct,pnl_100,sox_ret5,mu_ret5,nvda_ret5,semicon_market_up,variant
2024-06-04,2024-06-05,3436,SUMCO,A,シリコンウエハ,tradable,9.0,WATCH,2389.0,2380.0,2301.0,19.98995479658463,26.00210970464134,21.860398686009262,0.0,-3.3193277310924363,-7900.0,-3.7909932588363393,-4.54511107448583,2.2264909541227507,False,all_top3
2024-06-04,2024-06-05,4004,レゾナック,A,パッケージ/CMP材料,tradable,9.0,WATCH,3402.0,3377.0,3361.0,40.86956521739131,40.1153212520593,38.72351530770359,0.0,-0.4737933076695344,-1600.0,-3.7909932588363393,-4.54511107448583,2.2264909541227507,False,all_top3
2024-06-04,2024-06-05,4063,信越化学工業,A,シリコンウエハ,tradable,9.0,WATCH,5947.0,5995.0,5946.0,65.97823053307283,67.66281364533408,62.41178912411789,0.0,-0.8173477898248516,-4900.0,-3.7909932588363393,-4.54511107448583,2.2264909541227507,False,all_top3
2024-06-05,2024-06-06,3436,SUMCO,A,シリコンウエハ,tradable,10.0,WATCH,2301.0,2340.5,2303.0,15.454089312594089,20.282279142707793,16.496891391077174,-3.6835496023440717,-1.6022217474898515,-3750.0,2.4547282309276275,1.6187907380844857,6.631836007447545,True,all_top3
2024-06-05,2024-06-06,6981,村田製作所,B,MLCC/電源部品/EMI,tradable,10.0,WATCH,3018.0,3055.0,3029.0,9.78537650054565,17.203883495145632,11.383398042486604,-1.3725490196078383,-0.8510638297872353,-2600.0,2.4547282309276275,1.6187907380844857,6.631836007447545,True,all_top3
2024-06-05,2024-06-06,4004,レゾナック,A,パッケージ/CMP材料,tradable,9.0,WATCH,3361.0,3415.0,3412.0,40.392648287385136,39.22949461474732,34.912734220709375,-1.205173427395645,-0.08784773060028783,-300.0,2.4547282309276275,1.6187907380844857,6.631836007447545,True,all_top3
2024-06-06,2024-06-07,3436,SUMCO,A,シリコンウエハ,tradable,10.0,WATCH,2303.0,2304.0,2305.0,17.500000000000004,21.65874273639725,15.670517327975887,-3.5998325659271635,0.04340277777776791,100.0,2.4823885900640663,2.993116146400032,9.50045348292563,True,all_top3
2024-06-06,2024-06-07,6367,ダイキン工業,B,冷却/空調,tradable,10.0,WATCH,22645.0,22250.0,22470.0,16.666666666666675,13.851181498240317,11.157471038680544,-2.811158798283264,0.9887640449438129,22000.0,2.4823885900640663,2.993116146400032,9.50045348292563,True,all_top3
2024-06-06,2024-06-07,6981,村田製作所,B,MLCC/電源部品/EMI,tradable,10.0,WATCH,3029.0,3006.0,3048.0,11.23760558207858,20.08880783411964,11.078839939388851,-1.013071895424833,1.3972055888223478,4200.0,2.4823885900640663,2.993116146400032,9.50045348292563,True,all_top3
2024-06-07,2024-06-10,3436,SUMCO,A,シリコンウエハ,tradable,10.0,WATCH,2305.0,2305.0,2393.0,15.423134702053076,21.50764364786506,14.939662910142616,-3.5161155295102553,3.8177874186551053,8800.0,3.198689443391811,4.752001953124996,10.266066714697896,True,all_top3
