stage,flow_group,n,avg_score,win_next5,avg_next5,med_next5,avg_tv20,avg_up,avg_top_share
active_rotation,メモリ/ストレージ,13,6.538461538461538,61.53846153846154,5.902107750807169,2.7472527472527375,2.5859245208725974,100.0,100.0
active_rotation,前工程装置,10,8.3,40.0,2.441324238970991,-1.0632052222565662,1.9960016694471825,87.5,56.88422045113117
active_rotation,パッケージ/基板,12,8.041666666666666,75.0,1.5092774216035867,0.5840469758225275,2.133493688522917,94.44444444444444,58.06448644266624
active_rotation,電力/冷却/工場インフラ,9,7.333333333333333,66.66666666666666,1.1424827695475601,0.21699457368962616,1.901214480947611,80.0,57.28177468884798
active_rotation,MLCC/電子部品,13,8.384615384615385,61.53846153846154,1.1078392186771626,2.71959679322463,1.646225436674271,81.53846153846153,39.03517935090781
active_rotation,DC建設/設備,9,7.277777777777778,44.44444444444444,-0.3628448165093989,-0.4519015979093921,2.023966761723782,80.0,37.54418285017876
active_rotation,後工程/検査,5,7.6,40.0,-0.7068319727718716,-4.576301868576138,1.962539840999904,100.0,64.982121658995
active_rotation,光通信/電線,11,7.909090909090909,36.36363636363637,-0.86048034656666,-1.0569656626865636,1.7855012510545272,93.93939393939394,69.77365458820026
active_rotation,半導体デバイス/設計,6,7.833333333333333,66.66666666666666,-1.2002105113696402,0.5437932677264723,1.9583743586596774,88.88888888888887,64.19879576419633
active_rotation,半導体材料,7,8.357142857142858,28.57142857142857,-1.4759867630653496,-0.8925154937424629,1.741625454079223,85.71428571428571,58.24963386056363
leader_only,光通信/電線,4,2.5,50.0,5.769246092868378,5.821704486348546,1.4647629664023494,25.0,81.43102872825875
leader_only,前工程装置,3,4.5,100.0,2.6085422236014213,2.5737107471717895,1.5044220422274484,0.0,69.38502933324308
leader_only,半導体デバイス/設計,1,5.0,100.0,2.604987849093092,2.604987849093092,1.3015530803258677,33.33333333333333,67.87136176313504
leader_only,パッケージ/基板,3,4.166666666666667,66.66666666666666,2.197271860854094,0.42502774401672977,1.970102667468824,22.222222222222218,73.57909432373174
leader_only,メモリ/ストレージ,7,1.5,42.857142857142854,1.5315608575711288,-0.3571428571428559,1.6025281281129249,14.285714285714286,100.0
leader_only,半導体材料,7,4.357142857142857,57.14285714285714,0.05667063496579245,0.2600355315378944,1.9276409351415627,33.333333333333336,72.97295945128451
leader_only,後工程/検査,11,4.0,45.45454545454545,-2.014650193121368,-1.1399490225560749,1.4068887146098705,27.272727272727273,73.29622717183587
theme_flow_seed,メモリ/ストレージ,1,4.5,100.0,4.719645018152474,4.719645018152474,1.2001047796408626,100.0,100.0
theme_flow_seed,パッケージ/基板,4,7.5,50.0,4.4062103876038785,1.647431261500498,1.2490391410119996,75.0,59.26506022561995
