memo_date,signal_date,issue,flow_group,stage,lead_score,theme_hits,direct_count,expanded_count,direct_names,flow_turnover_oku,flow_tv5,flow_tv20,flow_tv60,flow_ret1,flow_ret5,flow_up_ratio,top_code,top_name,top_share,laggard_code,laggard_name,laggard_ret5,laggard_vs25,laggard_va20,flow_next_ret1,flow_next_ret5,flow_partial_days,flow_partial_ret,direct_next_ret5,direct_partial_ret,expanded_next_ret5,my_thesis
2024-01-11,2024-01-12,2581,半導体材料,active_rotation,8.0,"equipment,materials,optical_dc",2,6,"4063:信越化学工業, 7911:TOPPAN",949.7094695,1.2015170099775725,1.6501848310624858,1.8205712411174195,0.9520452741237806,2.9505783638779612,83.33333333333334,4063,信越化学工業,61.604521676299875,4186,東京応化工業,0.9105691056910503,1.9569960308072343,2.168237484165041,2.107216426121831,2.146896782382492,578,63.492608244251294,-0.08670561587417192,18.799786708056864,2.146896782382492,2024年初はAI/DC投資が上ぶれ要因だが、全体市況は不安定。国内はチップレット、材料、マスク検査、電子部品を候補にしつつ、強い資金流入を待つ局面。
2024-01-11,2024-01-12,2581,MLCC/電子部品,watch_only,8.0,"equipment,materials,optical_dc",2,5,"6762:TDK, 6981:村田製作所",780.583823,1.430454018846106,1.783753900037085,1.5592597587842207,0.6710142478053815,4.764656072403715,40.0,6762,TDK,33.943439793781124,6971,京セラ,6.012658227848111,6.059956631097396,2.0120797661797885,1.1232015655505556,0.6556887130287348,578,128.11885562643653,1.5741422854370302,176.7381122677646,0.6556887130287347,2024年初はAI/DC投資が上ぶれ要因だが、全体市況は不安定。国内はチップレット、材料、マスク検査、電子部品を候補にしつつ、強い資金流入を待つ局面。
2024-01-11,2024-01-12,2581,DC建設/設備,active_rotation,6.5,"equipment,materials,optical_dc",0,6,,553.5007955,1.535293464044878,1.9584293939948783,1.727262008187869,0.2150330638396314,6.745025973632712,60.0,1925,大和ハウス,36.672799687060255,1925,大和ハウス,4.859511745739287,5.841384376481962,3.481071176328516,1.5867817026615727,-0.4519015979093921,578,63.13978980201732,,,-0.4519015979093921,2024年初はAI/DC投資が上ぶれ要因だが、全体市況は不安定。国内はチップレット、材料、マスク検査、電子部品を候補にしつつ、強い資金流入を待つ局面。
2024-01-11,2024-01-12,2581,後工程/検査,watch_only,6.0,"equipment,materials,optical_dc",2,2,"6146:ディスコ, 6857:アドバンテスト",1220.117906,1.1985759218124852,1.3618480899406664,1.3479381806470507,-0.09612743751716835,8.817873042596947,0.0,6857,アドバンテスト,59.47444279208865,6146,ディスコ,8.05828129646149,9.498728440742932,1.153049849407658,2.6814550838412,12.809239747959921,578,251.26342836483838,12.809239747959921,251.26342836483838,12.809239747959921,2024年初はAI/DC投資が上ぶれ要因だが、全体市況は不安定。国内はチップレット、材料、マスク検査、電子部品を候補にしつつ、強い資金流入を待つ局面。
2024-01-11,2024-01-12,2581,電力/冷却/工場インフラ,watch_only,5.0,"equipment,materials,optical_dc",0,5,,1098.2711035,1.5762943165436551,1.8992334905511665,1.7589243613550218,0.20387585077703108,5.868710349011481,40.0,6367,ダイキン工業,55.87940291283463,6504,富士電機,1.490093335516618,2.54390957341204,1.8659531423494733,1.4941097083079447,1.5925549317392518,578,128.78347497121305,,,1.5925549317392518,2024年初はAI/DC投資が上ぶれ要因だが、全体市況は不安定。国内はチップレット、材料、マスク検査、電子部品を候補にしつつ、強い資金流入を待つ局面。
2024-01-11,2024-01-12,2581,前工程装置,watch_only,4.5,"equipment,materials,optical_dc",1,4,8035:東京エレクトロン,5357.96803,1.1211415046531432,1.0997617212316142,1.079810386363893,1.9529977953063216,6.014631868832007,100.0,6920,レーザーテック,68.89075857363784,6920,レーザーテック,-0.9653605905735385,-0.4384362440628342,0.9677022107697488,1.9558220232031713,6.699007940965613,578,84.2559579971552,6.528301886792454,97.43396226415095,6.699007940965613,2024年初はAI/DC投資が上ぶれ要因だが、全体市況は不安定。国内はチップレット、材料、マスク検査、電子部品を候補にしつつ、強い資金流入を待つ局面。
2024-01-11,2024-01-12,2581,光通信/電線,watch_only,4.5,"equipment,materials,optical_dc",1,4,5803:フジクラ,94.370714,1.2382075384587967,1.4381603399986786,1.1639962538241322,-0.5445496386900875,3.3825190496800626,33.33333333333333,5802,住友電工,60.28780284527676,5802,住友電工,3.6876355748373113,5.786148211262465,1.6338737570491757,0.6707642018468777,2.04148580389741,578,1728.5380003724474,3.5789473684210593,2540.5263157894738,2.04148580389741,2024年初はAI/DC投資が上ぶれ要因だが、全体市況は不安定。国内はチップレット、材料、マスク検査、電子部品を候補にしつつ、強い資金流入を待つ局面。
2024-01-11,2024-01-12,2581,パッケージ/基板,watch_only,4.0,"equipment,materials,optical_dc",0,1,,345.996479,1.3203407547657968,1.376499275467161,1.1488900117868832,-0.4200739916029983,4.99567620749221,33.33333333333333,2802,味の素,44.716490597582066,2802,味の素,5.676855895196509,7.09465190550298,1.6990275840347324,1.9528531367763409,0.7465151752631257,578,332.5068653928401,,,1.0638297872340496,2024年初はAI/DC投資が上ぶれ要因だが、全体市況は不安定。国内はチップレット、材料、マスク検査、電子部品を候補にしつつ、強い資金流入を待つ局面。
2024-01-18,2024-01-19,2582,後工程/検査,active_rotation,9.5,"equipment,memory,optical_dc",1,2,6857:アドバンテスト,2450.646567,2.023956672258854,2.75552752917702,2.643293661139774,5.995302567867821,13.438904360406934,100.0,6857,アドバンテスト,59.03116126496097,6146,ディスコ,12.383048981838197,16.689715075945454,2.4650593317815135,-0.484683307520567,-4.576301868576138,573,199.80620310960035,-4.574290484140231,339.73288814691153,-4.576301868576138,車載SoCとAI/HBMが同時に出た週。短期はAI/HBMが主役だが、車載チップレットは国策・長期テーマとして監視する。
2024-01-18,2024-01-19,2582,半導体デバイス/設計,active_rotation,9.5,"equipment,memory,optical_dc",1,1,6723:ルネサス,1209.977935,1.5167375682123794,1.6622033311621653,1.5817446649000875,3.896424122092427,5.18508448407314,100.0,6723,ルネサス,44.87147718111075,6723,ルネサス,7.435098650051919,3.9648533277595988,2.198459524532654,1.126320074596987,-0.8161560001247237,573,45.10311395898152,-6.869369369369371,61.63663663663663,-6.869369369369371,車載SoCとAI/HBMが同時に出た週。短期はAI/HBMが主役だが、車載チップレットは国策・長期テーマとして監視する。
