PublishedDate,Code,ApplicationDate,PublishReason,ShortMarginOutstanding,DailyChangeShortMarginOutstanding,ShortMarginOutstandingListedShareRatio,LongMarginOutstanding,DailyChangeLongMarginOutstanding,LongMarginOutstandingListedShareRatio,ShortLongRatio,ShortNegotiableMarginOutstanding,DailyChangeShortNegotiableMarginOutstanding,ShortStandardizedMarginOutstanding,DailyChangeShortStandardizedMarginOutstanding,LongNegotiableMarginOutstanding,DailyChangeLongNegotiableMarginOutstanding,LongStandardizedMarginOutstanding,DailyChangeLongStandardizedMarginOutstanding,TSEMarginBorrowingAndLendingRegulationClassification
2025-11-20,66300,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",768100.0,5600.0,1.3164,226100.0,-800.0,0.3875,339.7,425600.0,0.0,342500.0,5600.0,128400.0,200.0,97700.0,-1000.0,001
2025-11-20,67400,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",14056400.0,931400.0,0.3622,22103600.0,904900.0,0.5696,63.6,500.0,0.0,14055900.0,931400.0,7543500.0,-196900.0,14560100.0,1101800.0,001
2025-11-20,67720,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,0.0,452500.0,300.0,33.146,0.0,0.0,0.0,0.0,0.0,193000.0,0.0,259500.0,300.0,002
2025-11-20,68030,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",241400.0,-36500.0,0.8344,1856400.0,-50900.0,6.4165,13.0,0.0,0.0,241400.0,-36500.0,748700.0,5700.0,1107700.0,-56600.0,001
2025-11-20,68740,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",700.0,0.0,0.008,46700.0,-1300.0,0.5344,1.5,0.0,0.0,700.0,0.0,14600.0,-200.0,32100.0,-1100.0,001
2025-11-20,68980,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,0.0,226200.0,700.0,27.6874,0.0,0.0,0.0,0.0,0.0,199700.0,600.0,26500.0,100.0,002
2025-11-20,69010,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",1400.0,0.0,0.0324,91800.0,2800.0,2.124,1.5,0.0,0.0,1400.0,0.0,51200.0,700.0,40600.0,2100.0,001
2025-11-20,69930,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",12469100.0,-14300.0,5.5974,24929500.0,1874700.0,11.1908,50.0,9000.0,-4300.0,12460100.0,-10000.0,9382300.0,904200.0,15547200.0,970500.0,001
2025-11-20,70180,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",600.0,100.0,0.0266,324700.0,-700.0,14.4119,0.2,600.0,100.0,0.0,0.0,212000.0,-1300.0,112700.0,600.0,002
2025-11-20,70350,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",205000.0,1400.0,1.8203,424000.0,-2200.0,3.7649,48.3,0.0,0.0,205000.0,1400.0,212700.0,-900.0,211300.0,-1300.0,001
2025-11-20,70610,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",19900.0,-100.0,0.2361,937400.0,-1500.0,11.1223,2.1,7000.0,0.0,12900.0,-100.0,785500.0,-100.0,151900.0,-1400.0,001
2025-11-20,71050,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",23300.0,0.0,0.0218,233800.0,-2200.0,0.2185,10.0,0.0,0.0,23300.0,0.0,192900.0,-1400.0,40900.0,-800.0,001
2025-11-20,72500,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",11100.0,-200.0,0.0181,39300.0,1200.0,0.0641,28.2,8800.0,0.0,2300.0,-200.0,19300.0,-300.0,20000.0,1500.0,001
2025-11-20,72560,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",16000.0,0.0,0.0405,2712400.0,29000.0,6.8648,0.6,0.0,0.0,16000.0,0.0,1889700.0,101600.0,822700.0,-72600.0,001
2025-11-20,73560,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '1', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",62200.0,-2000.0,0.4152,613900.0,-11800.0,4.0977,10.1,0.0,0.0,62200.0,-2000.0,296900.0,600.0,317000.0,-12400.0,001
2025-11-20,73760,2025-11-19,"{'Restricted': '0', 'DailyPublication': '1', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '0', 'UnclearOrSecOnAlert': '0'}",0.0,0.0,0.0,188000.0,0.0,16.7896,0.0,0.0,0.0,0.0,0.0,137800.0,0.0,50200.0,0.0,002
2025-11-20,73780,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",35900.0,5400.0,0.4864,1240900.0,-9300.0,16.8131,2.9,0.0,0.0,35900.0,5400.0,614600.0,0.0,626300.0,-9300.0,001
2025-11-20,73880,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",274100.0,4400.0,1.1781,262300.0,-1300.0,1.1274,104.5,0.0,0.0,274100.0,4400.0,141700.0,-1100.0,120600.0,-200.0,001
2025-11-20,74200,2025-11-19,"{'Restricted': '0', 'DailyPublication': '0', 'Monitoring': '0', 'RestrictedByJSF': '0', 'PrecautionByJSF': '1', 'UnclearOrSecOnAlert': '0'}",30400.0,1500.0,0.2034,136100.0,-100.0,0.9106,22.3,6500.0,0.0,23900.0,1500.0,66600.0,0.0,69500.0,-100.0,001
