Date,Sector33Code,SellingExcludingShortSellingTurnoverValue,ShortSellingWithRestrictionsTurnoverValue,ShortSellingWithoutRestrictionsTurnoverValue
2025-11-26,5050,48818591750.0,33897273200.0,2977785050.0
2025-11-26,5100,22896543650.0,16717873650.0,1402678600.0
2025-11-26,5150,6746285650.0,2860312650.0,393117000.0
2025-11-26,5200,3601412950.0,1926010700.0,482510700.0
2025-11-26,5250,495543644308.0,120179565700.0,114065192810.0
2025-11-26,6050,155051825450.0,78933685700.0,18308958850.0
2025-11-26,6100,185179928040.0,129289210060.0,23166619150.0
2025-11-26,7050,305645701250.0,101869052380.0,18341953010.0
2025-11-26,7100,32556705300.0,12583145700.0,1957537500.0
2025-11-26,7150,71154005770.0,25476515880.0,3066478250.0
2025-11-26,7200,22140255910.0,9564142840.0,1431495370.0
2025-11-26,8050,61866137050.0,37866099870.0,6026810760.0
2025-11-26,9050,121850616950.0,52406028510.0,9026926020.0
2025-11-26,9999,227842995345.0,97953053953.0,28215647724.0
2025-11-25,0050,2593327900.0,898550600.0,189253800.0
2025-11-25,1050,12269959500.0,5811021400.0,685585400.0
2025-11-25,2050,97698569350.0,45302190050.0,6459969700.0
2025-11-25,3050,101838849300.0,45296128600.0,4646068150.0
2025-11-25,3100,10827060040.0,6237627740.0,891637870.0
2025-11-25,3150,3527844390.0,2560412180.0,163601150.0
2025-11-25,3200,131673652960.0,67508549930.0,6680842430.0
2025-11-25,3250,146396476800.0,56631360900.0,9824159600.0
2025-11-25,3300,8574484650.0,3144647300.0,393484850.0
2025-11-25,3350,18670073650.0,7245069850.0,757949500.0
2025-11-25,3400,40367437300.0,20751867600.0,4867635640.0
2025-11-25,3450,21119212800.0,10629442790.0,627620190.0
2025-11-25,3500,301061034550.0,95928895250.0,68795663050.0
2025-11-25,3550,14652789800.0,9398772800.0,1120202750.0
2025-11-25,3600,337534000540.0,197728313290.0,51493335250.0
2025-11-25,3650,897981326030.0,330774557980.0,186882912310.0
2025-11-25,3700,135606356050.0,79488982180.0,11893807610.0
2025-11-25,3750,51480347500.0,27461159900.0,2969274700.0
2025-11-25,3800,69894089630.0,38535533520.0,4715301760.0
2025-11-25,4050,132005236450.0,65344249730.0,17469400560.0
