signal,market_condition,n,win_rate,avg_return
STRONG_BUY,RED,18,72.22222222222221,0.4364535133617657
STRONG_BUY,YELLOW,46,60.86956521739131,0.7795482073366111
STRONG_BUY,GREEN,18,66.66666666666666,0.8328646079064264
BUY,RED,33,54.54545454545454,0.31346571874121
BUY,YELLOW,85,62.35294117647059,0.2888565042883516
BUY,GREEN,28,50.0,-0.3340497633504485
