label,top_win_removed,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
Top1 現行基準,0%,1543,1543,1.626235049319437,55.86519766688269,1444309.8256145874,936.0400684475615,-145344.10691906782,-47200.0,-7000.420487666303,-13801.530115713287,666
Top1 現行基準,1%,1527,1527,1.365759594254914,55.40275049115914,843565.3296142976,552.4330907755715,-145344.1069190678,-47200.0,-7016.452706913424,-13889.818573221843,754
Top1 現行基準,5%,1465,1465,0.9618029902027769,53.515358361774744,-88095.22338166868,-60.13325828100251,-262730.56630990404,-47200.0,-7447.17938224871,-14162.684214305953,2176
Top1 現行基準,10%,1388,1388,0.6735435539839902,50.93659942363112,-752918.9768738588,-542.4488306007629,-787004.4057363991,-47200.0,-7514.962457939541,-14543.758616274066,2275
Top3 現行基準,0%,4140,1543,1.5597893607518756,56.062801932367144,3418987.5212785136,825.8423964440855,-129474.05811433392,-47200.0,-7355.490709994907,-13652.270019107837,154
Top3 現行基準,1%,4098,1542,1.3046165167429484,55.61249389946315,1860485.6443155946,453.9984490765238,-213124.7249725298,-47200.0,-7402.824571411584,-13713.462551196908,640
Top3 現行基準,5%,3933,1536,0.9254284539074898,53.75031782354437,-455455.57562989835,-115.80360427915035,-592614.4041574837,-47200.0,-7531.302452461665,-13966.577312185967,2178
Top3 現行基準,10%,3726,1527,0.651673743039131,51.180891035963505,-2127448.6608378687,-570.9738756945434,-2176186.4843973597,-47200.0,-7848.2899541440365,-14301.854203402962,2277
