blocked_reason,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
short脚が強すぎる,711,443,1.9238307646560795,58.22784810126582,1116448.5390344053,1570.2511097530314,-80450.0,-47200.0,-8869.462485309794,-14458.06569373144,330
long脚が弱すぎる,427,200,1.8499765324168014,56.674473067915685,647463.1054750015,1516.3070385831418,-93445.35931335043,-34000.0,-9146.394549980092,-13881.592099693884,480
片脚だけgap/出来高/前日変化,740,527,1.8083006850344998,57.7027027027027,1000632.7961429371,1352.2064812742394,-76640.70149067813,-42659.476538160176,-8509.336283979896,-13921.944063158846,359
25日線乖離が極端,268,130,1.792677547268641,57.08955223880597,430321.2430323767,1605.6762799715548,-92924.74162903719,-47200.0,-9318.197274990047,-16612.83661038093,335
防御選別で除外,1510,773,1.7568781709273837,56.75496688741721,1980758.3437519767,1311.760492550978,-84706.01604108578,-47200.0,-8818.275194458956,-14393.503450642635,186
厳格選別で除外,1541,781,1.796719555203092,56.91109669046074,2118232.926367748,1374.583339628649,-77998.28691099616,-47200.0,-8799.164545973941,-14342.566659926964,188
