top_n,month,n,days,pf,win_rate,total,avg,max_dd,max_loss,p05,cvar5,tuw_days
1,2020-01,18,18,0.6371446291222129,38.88888888888889,-7653.450796064373,-425.19171089246515,-14858.71365518591,-4889.154218828412,-4674.497275915971,-4889.154218828412,15
1,2020-02,17,17,9.085154096112753,70.58823529411765,49385.338314789326,2905.01990086996,-1884.046894916105,-2119.763461954949,-1931.1902083238738,-2119.763461954949,5
1,2020-03,12,12,0.4573926119960564,50.0,-11492.674465236112,-957.7228721030093,-16637.772727030155,-9072.312542171243,-7183.6557468055835,-9072.312542171243,21
1,2020-04,18,18,1.644171072830632,55.55555555555556,7942.275859356733,441.23754774204076,-6541.782162576921,-4579.05774724029,-2070.8221141292615,-4579.05774724029,14
1,2020-05,18,18,2.144161615875133,72.22222222222221,18386.777926691182,1021.4876625939546,-7862.081097771999,-7862.081097771999,-5004.160952551329,-7862.081097771999,8
1,2020-06,22,22,1.904100482325938,63.63636363636363,17411.939484279712,791.4517947399869,-12526.158000617292,-9695.962309889183,-2349.768730713489,-6040.287470489602,15
1,2020-07,21,21,0.2900609630043028,38.095238095238095,-76999.47161184832,-3666.6415053261103,-80767.64417097573,-29835.049812517354,-22060.92145668481,-25947.985634601082,30
1,2020-08,18,18,3.073762480213602,77.77777777777779,15793.280583725318,877.4044768736288,-6523.535029678629,-6009.5044252499065,-1829.8182155215422,-6009.5044252499065,14
1,2020-09,20,20,1.7130516318504876,50.0,14692.930345458975,734.6465172729488,-7893.605441527563,-4149.48488530456,-3924.0335409073828,-4149.48488530456,14
1,2020-10,21,21,1.4632969605410808,52.38095238095239,10624.939714786658,505.9495102279361,-8783.48833078012,-8783.48833078012,-6377.261009287713,-7580.374670033916,22
1,2020-11,19,19,0.3369520669113907,31.57894736842105,-15640.511811379645,-823.184832177876,-17478.927662104266,-8309.936085129062,-3710.203791043475,-8309.936085129062,18
1,2020-12,22,22,0.5596990797090327,50.0,-37077.037512923154,-1685.3198869510525,-49814.31582929365,-31764.71570556878,-20478.717473209053,-26299.1259704645,16
