label,actual_total,actual_pf,random_total_mean,random_total_p95,actual_total_percentile,random_pf_mean,random_pf_p95,actual_pf_percentile,trials
Top1 現行基準,1444309.8256145874,1.626235049319437,-572.474073240148,439969.1911092099,100.0,1.0038260658265414,1.1566558266297786,100.0,1000
Top3 現行基準,3418987.5212785136,1.5597893607518756,23084.790763482604,744116.9673241905,100.0,1.0044878061685354,1.099947647583486,100.0,1000
